epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
42,4104.68,0.61028,0.71725,1.02157,0.77096,0.68433,0.76572,0.66741,0.51979,0.67794,0.96572,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,4202.27,0.60762,0.71105,1.0194,0.71432,0.75866,0.7752,0.67527,0.52181,0.68652,0.96835,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,4296.2,0.60621,0.70402,1.01969,0.79175,0.70378,0.76872,0.67496,0.51525,0.67862,0.96382,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,4390.73,0.60066,0.69746,1.01413,0.70952,0.73349,0.7763,0.67534,0.51818,0.67153,0.97102,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,4485.25,0.6028,0.69715,1.01625,0.72005,0.76965,0.78495,0.68601,0.51445,0.66686,0.96688,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,4579.98,0.59805,0.68268,1.01187,0.67707,0.76874,0.79517,0.69601,0.51036,0.66384,0.96349,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,4677.25,0.59702,0.67993,1.01301,0.7676,0.73656,0.78023,0.68194,0.5116,0.66065,0.96679,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,4774.33,0.59217,0.67149,1.00794,0.81928,0.69544,0.7793,0.68187,0.50791,0.65896,0.96316,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,4869.3,0.5858,0.66515,1.00662,0.67978,0.78961,0.77592,0.67834,0.50782,0.64715,0.96373,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,4964.37,0.58809,0.66303,1.00771,0.76401,0.72156,0.77594,0.67927,0.51068,0.6528,0.9656,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,5058.46,0.58253,0.65173,1.00381,0.78098,0.6984,0.77425,0.6736,0.51311,0.65474,0.96827,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,5155.97,0.58415,0.64884,1.00453,0.77222,0.75157,0.78553,0.68703,0.51444,0.64631,0.96912,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,5255.58,0.58067,0.63879,1.00161,0.79335,0.69974,0.77578,0.6789,0.5134,0.6516,0.97166,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,5352.74,0.57878,0.63617,1.00217,0.81778,0.69375,0.77664,0.67899,0.50891,0.64123,0.96716,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,5446.64,0.57649,0.62977,0.99986,0.80157,0.71686,0.77849,0.68433,0.50482,0.64127,0.96399,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,5540.76,0.57114,0.62431,0.99873,0.80479,0.69968,0.77409,0.6808,0.50293,0.6416,0.96465,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,5637.14,0.57041,0.62172,0.99439,0.76341,0.74327,0.77843,0.68181,0.50839,0.64593,0.97015,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,5734.55,0.56765,0.61573,0.99412,0.74981,0.73012,0.78851,0.69581,0.50757,0.63989,0.96691,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,5830.89,0.56553,0.61017,0.99296,0.77632,0.7213,0.79032,0.69203,0.51074,0.63173,0.97271,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,5927.54,0.56246,0.60291,0.99139,0.75384,0.73267,0.7848,0.68949,0.50998,0.63204,0.97313,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,6024.12,0.5571,0.59478,0.99015,0.78234,0.71817,0.78296,0.6884,0.50915,0.63346,0.97317,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,6120.33,0.5586,0.59596,0.99073,0.70844,0.7795,0.77972,0.68619,0.50686,0.63744,0.97116,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,6216.8,0.55385,0.58803,0.98618,0.74594,0.75768,0.79863,0.70164,0.50418,0.63924,0.96738,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,6311.93,0.55328,0.5825,0.98495,0.77581,0.73125,0.78159,0.68841,0.49806,0.64073,0.96235,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,6408.84,0.55174,0.57464,0.98572,0.77802,0.7407,0.78295,0.68748,0.49844,0.63607,0.96377,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
